;ACCIMT Observatory;	ACCIMT Observatory
D17;Hong Kong;	Hong Kong [code D17]
D18;Mt. Guizi Observatory;	Mt. Guizi Observatory [code D18]
D19;Hong Kong Space Museum, Tsimshatsui;	Hong Kong Space Museum, Tsimshatsui [code D19]
D20;Zadko Observatory, Wallingup Plain;	Zadko Observatory, Wallingup Plain [code D20]
D21;Shenton Park;	Shenton Park [code D21]
D22;UWA Observatory, Crawley;	UWA Observatory, Crawley [code D22]
D24;LightBuckets Observatory, Pingelly;	LightBuckets Observatory, Pingelly [code D24]
D25;Tzec Maun Observatory, Pingelly (before 2010);	Tzec Maun Observatory, Pingelly (before 2010) [code D25]
D29;Purple Mountain Observatory, XuYi Station;	Purple Mountain Observatory, XuYi Station [code D29]
D32;JiangNanTianChi Observatory, Mt. Getianling;	JiangNanTianChi Observatory, Mt. Getianling [code D32]
D33;Kenting Observatory, Checheng;	Kenting Observatory, Checheng [code D33]
D34;Kenting Observatory, Hengchun;	Kenting Observatory, Hengchun [code D34]
D35;Lulin Observatory;	Lulin Observatory [code D35]
D36;Tataka, Mt. Yu-Shan National Park;	Tataka, Mt. Yu-Shan National Park [code D36]
D37;Lulin Widefield Telescope, Mt. Lulin;	Lulin Widefield Telescope, Mt. Lulin [code D37]
D39;Shandong University Observatory, Weihai;	Shandong University Observatory, Weihai [code D39]
D44;Ishigakijima Astronomical Observatory;	Ishigakijima Astronomical Observatory [code D44]
D53;ISON-Blagoveschensk Observatory;	ISON-Blagoveschensk Observatory [code D53]
D54;MASTER-II Observatory, Blagoveshchensk;	MASTER-II Observatory, Blagoveshchensk [code D54]
D55;Kangwon Science High School Observatory, Ksho;	Kangwon Science High School Observatory, Ksho [code D55]
D57;Gimhae Astronomical Observatory, Uhbang-dong;	Gimhae Astronomical Observatory, Uhbang-dong [code D57]
D58;KSA SEM Observatory, Danggam-dong;	KSA SEM Observatory, Danggam-dong [code D58]
D61;Suntopia Marina, Sumoto;	Suntopia Marina, Sumoto [code D61]
D62;Miyaki-Argenteus;	Miyaki-Argenteus [code D62]
D70;Tosa;	Tosa [code D70]
D74;Nakagawa;	Nakagawa [code D74]
D78;Iga-Ueno;	Iga-Ueno [code D78]
D79;YSVP Observatory, Vale Park;	YSVP Observatory, Vale Park [code D79]
D80;Gumma Astronomical Observatory;	Gumma Astronomical Observatory [code D80]
D81;Nagano;	Nagano [code D81]
D82;Wallaroo;	Wallaroo [code D82]
D83;Miwa;	Miwa [code D83]
D84;Hallet Cove;	Hallet Cove [code D84]
D85;Ingle Farm;	Ingle Farm [code D85]
D86;Penwortham;	Penwortham [code D86]
D87;Brooklyn Park;	Brooklyn Park [code D87]
D88;Hiratsuka;	Hiratsuka [code D88]
D89;Yamagata;	Yamagata [code D89]
D90;RAS Observatory, Moorook;	RAS Observatory, Moorook [code D90]
D91;Adati;	Adati [code D91]
D92;Osaki;	Osaki [code D92]
D93;Sendai Astronomical Observatory;	Sendai Astronomical Observatory [code D93]
D94;Takanezawa, Tochigi;	Takanezawa, Tochigi [code D94]
D95;Kurihara;	Kurihara [code D95]
D96;Tzec Maun Observatory, Moorook;	Tzec Maun Observatory, Moorook [code D96]
D97;Berri;	Berri [code D97]
E00;Castlemaine;	Castlemaine [code E00]
E01;Barfold;	Barfold [code E01]
E03;RAS Observatory, Officer;	RAS Observatory, Officer [code E03]
E04;Pacific Sky Observatory, Saipan;	Pacific Sky Observatory, Saipan [code E04]
E05;Earl Hill Observatory, Trinity Beach;	Earl Hill Observatory, Trinity Beach [code E05]
E07;Murrumbateman;	Murrumbateman [code E07]
E08;Wobblesock Observatory, Coonabarabran;	Wobblesock Observatory, Coonabarabran [code E08]
E09;Oakley Southern Sky Observatory, Coonabarabran;	Oakley Southern Sky Observatory, Coonabarabran [code E09]
E10;Siding Spring-Faulkes Telescope South;	Siding Spring-Faulkes Telescope South [code E10]
E11;Frog Rock Observatory, Mudgee;	Frog Rock Observatory, Mudgee [code E11]
E12;Siding Spring Survey;	Siding Spring Survey [code E12]
E13;Wanniassa;	Wanniassa [code E13]
E14;Hunters Hill Observatory, Ngunnawal;	Hunters Hill Observatory, Ngunnawal [code E14]
E15;Magellan Observatory, near Goulburn;	Magellan Observatory, near Goulburn [code E15]
E16;Grove Creek Observatory, Trunkey;	Grove Creek Observatory, Trunkey [code E16]
E17;Leura;	Leura [code E17]
E18;BDI Observatory, Regents Park;	BDI Observatory, Regents Park [code E18]
E19;Kingsgrove;	Kingsgrove [code E19]
E20;Marsfield;	Marsfield [code E20]
E21;Norma Rose Observatory, Leyburn;	Norma Rose Observatory, Leyburn [code E21]
E22;Univ. of Southern Queensland Obs., Mt. Kent;	Univ. of Southern Queensland Obs., Mt. Kent [code E22]
E23;Arcadia;	Arcadia [code E23]
E24;Tangra Observatory, St. Clair;	Tangra Observatory, St. Clair [code E24]
E25;Rochedale (APTA);	Rochedale (APTA) [code E25]
E26;RAS Observatory, Biggera Waters;	RAS Observatory, Biggera Waters [code E26]
E27;Thornlands;	Thornlands [code E27]
E28;Kuriwa Observatory, Hawkesbury Heights;	Kuriwa Observatory, Hawkesbury Heights [code E28]
E81;Nelson;	Nelson [code E81]
E83;Wither Observatory, Witherlea;	Wither Observatory, Witherlea [code E83]
E85;Farm Cove;	Farm Cove [code E85]
E87;Turitea;	Turitea [code E87]
E89;Geyserland Observatory, Pukehangi;	Geyserland Observatory, Pukehangi [code E89]
E94;Possum Observatory, Gisborne;	Possum Observatory, Gisborne [code E94]
F51;Pan-STARRS 1, Haleakala;	Pan-STARRS 1, Haleakala [code F51]
F52;Pan-STARRS 2, Haleakala;	Pan-STARRS 2, Haleakala [code F52]
F59;Ironwood Remote Observatory, Hawaii;	Ironwood Remote Observatory, Hawaii [code F59]
F60;Ironwood Observatory, Hawaii;	Ironwood Observatory, Hawaii [code F60]
F65;Haleakala-Faulkes Telescope North;	Haleakala-Faulkes Telescope North [code F65]
F84;Hibiscus Observatory, Punaauia;	Hibiscus Observatory, Punaauia [code F84]
F85;Tiki Observatory, Punaauia;	Tiki Observatory, Punaauia [code F85]
F86;Moana Observatory, Punaauia;	Moana Observatory, Punaauia [code F86]
G25;Sherbrooke;	Sherbrooke [code G25]
G26;Fushan Observatory, Mt Shaohua;	Fushan Observatory, Mt Shaohua [code G26]
G27;Fabra Observatory, Montsec;	Fabra Observatory, Montsec [code G27]
G28;Wyncroft Observatory, Attleborough;	Wyncroft Observatory, Attleborough [code G28]
G29;Requena;	Requena [code G29]
G30;Casselman;	Casselman [code G30]
G31;CCAT Trieste;	CCAT Trieste [code G31]
G32;Elena Remote Observatory, San Pedro de Atacama;	Elena Remote Observatory, San Pedro de Atacama [code G32]
G33;Wickede;	Wickede [code G33]
G34;Oberfrauendorf;	Oberfrauendorf [code G34]
G35;Elephant Head Obsevatory, Sahuarita;	Elephant Head Obsevatory, Sahuarita [code G35]
G36;Calar Alto-CASADO;	Calar Alto-CASADO [code G36]
G37;Lowell Observatory-Discovery Channel Telescope;	Lowell Observatory-Discovery Channel Telescope [code G37]
G38;Observatorio La Senda, Cabanillas del Campo;	Observatorio La Senda, Cabanillas del Campo [code G38]
G39;ROAD, San Pedro de Atacama;	ROAD, San Pedro de Atacama [code G39]
G40;Slooh.com Canary Islands Observatory;	Slooh.com Canary Islands Observatory [code G40]
G41;Insperity Observatory, Humble;	Insperity Observatory, Humble [code G41]
G42;Observatorio Astronomico UAdeC, Saltillo;	Observatorio Astronomico UAdeC, Saltillo [code G42]
G43;Observatorio Buenaventura Suarez, San Luis;	Observatorio Buenaventura Suarez, San Luis [code G43]
G44;Observatorio Longa Vista, Sao Paulo;	Observatorio Longa Vista, Sao Paulo [code G44]
G45;Space Surveillance Telescope, Atom Site;	Space Surveillance Telescope, Atom Site [code G45]
G46;Pinto Valley Observatory;	Pinto Valley Observatory [code G46]
G47;HillTopTop Observatory, Edgewood;	HillTopTop Observatory, Edgewood [code G47]
G48;Harlingten Research Observatory, Rancho Hildalgo;	Harlingten Research Observatory, Rancho Hildalgo [code G48]
G49;Minnetonka;	Minnetonka [code G49]
G50;Organ Mesa Observatory, Las Cruces;	Organ Mesa Observatory, Las Cruces [code G50]
G51;Byrne Observatory, Sedgwick Reserve;	Byrne Observatory, Sedgwick Reserve [code G51]
G52;Stone Edge Observatory, El Verano;	Stone Edge Observatory, El Verano [code G52]
G53;Alder Springs Observatory, Auberry;	Alder Springs Observatory, Auberry [code G53]
G54;Hemet;	Hemet [code G54]
G55;Bakersfield;	Bakersfield [code G55]
G56;Walnut Creek;	Walnut Creek [code G56]
G57;Dilbert Observatory, Forest Grove;	Dilbert Observatory, Forest Grove [code G57]
G58;Chabot Space and Science Center, Oakland;	Chabot Space and Science Center, Oakland [code G58]
G59;Maiden Lane Obs., Bainbridge Island;	Maiden Lane Obs., Bainbridge Island [code G59]
G60;Carroll Observatory, Montecito;	Carroll Observatory, Montecito [code G60]
G61;Pleasanton;	Pleasanton [code G61]
G62;Sunriver Nature Center Observatory, Sunriver;	Sunriver Nature Center Observatory, Sunriver [code G62]
G63;Mill Creek Observatory, The Dalles;	Mill Creek Observatory, The Dalles [code G63]
G64;Blue Canyon Observatory;	Blue Canyon Observatory [code G64]
G65;Vulcan North, Lick Observatory, Mount Hamilton;	Vulcan North, Lick Observatory, Mount Hamilton [code G65]
G66;Lake Forest Observatory, Forest Hills;	Lake Forest Observatory, Forest Hills [code G66]
G67;Rancho Del Sol, Camino;	Rancho Del Sol, Camino [code G67]
G68;Sierra Stars Observatory, Markleeville;	Sierra Stars Observatory, Markleeville [code G68]
G69;Via Capote Sky Observatory, Thousand Oaks;	Via Capote Sky Observatory, Thousand Oaks [code G69]
G70;Francisquito Observatory, Los Angeles;	Francisquito Observatory, Los Angeles [code G70]
G71;Rancho Palos Verdes;	Rancho Palos Verdes [code G71]
G72;University Hills;	University Hills [code G72]
G73;Mount Wilson-TIE;	Mount Wilson-TIE [code G73]
G74;Boulder Knolls Observatory, Escondido;	Boulder Knolls Observatory, Escondido [code G74]
G75;Starry Knight Observatory, Coto de Caza;	Starry Knight Observatory, Coto de Caza [code G75]
G76;Altimira Observatory, Coto de Caza;	Altimira Observatory, Coto de Caza [code G76]
G77;Baldwin Lake;	Baldwin Lake [code G77]
G78;Desert Wanderer Observatory, El Centro;	Desert Wanderer Observatory, El Centro [code G78]
G79;Goat Mountain Astronomical Research Station;	Goat Mountain Astronomical Research Station [code G79]
G80;Sierra Remote Observatories, Auberry;	Sierra Remote Observatories, Auberry [code G80]
G81;Temecula;	Temecula [code G81]
G82;SARA Observatory, Kitt Peak;	SARA Observatory, Kitt Peak [code G82]
G83;Mt. Graham-LBT;	Mt. Graham-LBT [code G83]
G84;Mount Lemmon SkyCenter;	Mount Lemmon SkyCenter [code G84]
G85;Vermillion Cliffs Observatory, Kanab;	Vermillion Cliffs Observatory, Kanab [code G85]
G86;Tucson-Winterhaven;	Tucson-Winterhaven [code G86]
G87;Calvin M. Hooper Memorial Observatory, Hyde Park;	Calvin M. Hooper Memorial Observatory, Hyde Park [code G87]
G88;LAMP Observatory, New River;	LAMP Observatory, New River [code G88]
G89;Kachina Observatory, Flagstaff;	Kachina Observatory, Flagstaff [code G89]
G90;Three Buttes Observatory, Tucson;	Three Buttes Observatory, Tucson [code G90]
G91;Whipple Observatory, Mt. Hopkins--2MASS;	Whipple Observatory, Mt. Hopkins--2MASS [code G91]
G92;Jarnac Observatory, Vail;	Jarnac Observatory, Vail [code G92]
G93;Sonoita Research Observatory, Sonoita;	Sonoita Research Observatory, Sonoita [code G93]
G94;Sonoran Skies Observatory, St. David;	Sonoran Skies Observatory, St. David [code G94]
G95;Hereford Arizona Observatory, Hereford;	Hereford Arizona Observatory, Hereford [code G95]
G96;Mt. Lemmon Survey;	Mt. Lemmon Survey [code G96]
G97;Astronomical League Alpha Observatory, Portal;	Astronomical League Alpha Observatory, Portal [code G97]
G98;Calvin-Rehoboth Observatory, Rehoboth;	Calvin-Rehoboth Observatory, Rehoboth [code G98]
G99;NF Observatory, Silver City;	NF Observatory, Silver City [code G99]
H00;Tyrone;	Tyrone [code H00]
H01;Magdalena Ridge Observatory, Socorro;	Magdalena Ridge Observatory, Socorro [code H01]
H02;Sulphur Flats Observatory, La Cueva;	Sulphur Flats Observatory, La Cueva [code H02]
H03;Sandia View Observatory, Rio Rancho;	Sandia View Observatory, Rio Rancho [code H03]
H04;Santa Fe;	Santa Fe [code H04]
H05;Edmund Kline Observatory, Deer Trail;	Edmund Kline Observatory, Deer Trail [code H05]
H06;iTelescope Observatory, Mayhill;	iTelescope Observatory, Mayhill [code H06]
H07;7300 Observatory, Cloudcroft;	7300 Observatory, Cloudcroft [code H07]
H08;BlackBird Observatory, Cloudcroft;	BlackBird Observatory, Cloudcroft [code H08]
H09;Antelope Hills Observatory, Bennett;	Antelope Hills Observatory, Bennett [code H09]
H10;Tzec Maun Observatory, Mayhill;	Tzec Maun Observatory, Mayhill [code H10]
H11;LightBuckets Observatory, Rodeo;	LightBuckets Observatory, Rodeo [code H11]
H12;TechDome, Mayhill;	TechDome, Mayhill [code H12]
H13;Lenomiya Observatory, Casa Grande;	Lenomiya Observatory, Casa Grande [code H13]
H14;Morning Star Observatory, Tucson;	Morning Star Observatory, Tucson [code H14]
H15;ISON-NM Observatory, Mayhill;	ISON-NM Observatory, Mayhill [code H15]
H16;HUT Observatory, Eagle;	HUT Observatory, Eagle [code H16]
H17;Angel Peaks Observatory;	Angel Peaks Observatory [code H17]
H18;Vail View Observatory, Vail;	Vail View Observatory, Vail [code H18]
H19;Lone Star Observatory, Caney;	Lone Star Observatory, Caney [code H19]
H20;Eastern Illinois University Obs., Charleston;	Eastern Illinois University Obs., Charleston [code H20]
H21;Astronomical Research Observatory, Westfield;	Astronomical Research Observatory, Westfield [code H21]
H22;Terre Haute;	Terre Haute [code H22]
H23;Pear Tree Observatory, Valparaiso;	Pear Tree Observatory, Valparaiso [code H23]
H24;J. C. Veen Observatory, Lowell;	J. C. Veen Observatory, Lowell [code H24]
H25;Harvest Moon Observatory, Northfield;	Harvest Moon Observatory, Northfield [code H25]
H26;Doc Greiner Research Observatory, Janesvillle;	Doc Greiner Research Observatory, Janesvillle [code H26]
H27;Moonglow Observatory, Warrensburg;	Moonglow Observatory, Warrensburg [code H27]
H28;Preston Hills Observatory, Celina;	Preston Hills Observatory, Celina [code H28]
H29;Ivywood Observatory, Edmond;	Ivywood Observatory, Edmond [code H29]
H30;University of Oklahoma Observatory, Norman;	University of Oklahoma Observatory, Norman [code H30]
H31;Star Ridge Observatory, Weimar;	Star Ridge Observatory, Weimar [code H31]
H32;Texas A&amp;M Physics Observatory, College Station;	Texas A&amp;M Physics Observatory, College Station [code H32]
H33;Bixhoma Observatory, Bixby;	Bixhoma Observatory, Bixby [code H33]
H34;Chapel Hill;	Chapel Hill [code H34]
H35;Leavenworth;	Leavenworth [code H35]
H36;Sandlot Observatory, Scranton;	Sandlot Observatory, Scranton [code H36]
H37;Grems Timmons Observatories, Graettinger;	Grems Timmons Observatories, Graettinger [code H37]
H38;Timberline Observatory, Urbandale;	Timberline Observatory, Urbandale [code H38]
H39;S.O.S. Observatory, Minneapolis;	S.O.S. Observatory, Minneapolis [code H39]
H40;Nubbin Ridge Observatory;	Nubbin Ridge Observatory [code H40]
H41;Petit Jean Mountain;	Petit Jean Mountain [code H41]
H42;Wartburg College Observatory, Waverly;	Wartburg College Observatory, Waverly [code H42]
H43;Conway;	Conway [code H43]
H44;Cascade Mountain;	Cascade Mountain [code H44]
H45;Arkansas Sky Obs., Petit Jean Mountain South;	Arkansas Sky Obs., Petit Jean Mountain South [code H45]
H46;Ricky Observatory, Blue Springs;	Ricky Observatory, Blue Springs [code H46]
H47;Vicksburg;	Vicksburg [code H47]
H48;PSU Greenbush Observatory, Pittsburg;	PSU Greenbush Observatory, Pittsburg [code H48]
H49;ATU Astronomical Observatory, Russellville;	ATU Astronomical Observatory, Russellville [code H49]
H50;University of Central Arkansas Obs., Conway;	University of Central Arkansas Obs., Conway [code H50]
H51;Greiner Research Observatory, Verona;	Greiner Research Observatory, Verona [code H51]
H52;Hawkeye Observatory, Durand;	Hawkeye Observatory, Durand [code H52]
H53;Thompsonville;	Thompsonville [code H53]
H54;Cedar Drive Observatory, Pulaski;	Cedar Drive Observatory, Pulaski [code H54]
H55;Astronomical Research Observatory, Charleston;	Astronomical Research Observatory, Charleston [code H55]
H56;Northbrook Meadow Observatory;	Northbrook Meadow Observatory [code H56]
H57;Ohio State University Observatory, Lima;	Ohio State University Observatory, Lima [code H57]
H58;NASA/MSFC ALaMO, Redstone Arsenal;	NASA/MSFC ALaMO, Redstone Arsenal [code H58]
H59;Prairie Grass Observatory, Camp Cullom;	Prairie Grass Observatory, Camp Cullom [code H59]
H60;Heartland Observatory, Carmel;	Heartland Observatory, Carmel [code H60]
H61;Newcastle;	Newcastle [code H61]
H62;Calvin College Observatory;	Calvin College Observatory [code H62]
H63;DeKalb Observatory, Auburn;	DeKalb Observatory, Auburn [code H63]
H64;Thomas More College Observatory, Crestview Hills;	Thomas More College Observatory, Crestview Hills [code H64]
H65;Waltonfields Observatory, Walton;	Waltonfields Observatory, Walton [code H65]
H66;Yellow Springs;	Yellow Springs [code H66]
H67;Stonegate Observatory, Ann Arbor;	Stonegate Observatory, Ann Arbor [code H67]
H68;Red Barn Observatory, Ty Ty;	Red Barn Observatory, Ty Ty [code H68]
H69;Perkins Observatory, Delaware;	Perkins Observatory, Delaware [code H69]
H70;Asheville;	Asheville [code H70]
H71;Chula;	Chula [code H71]
H72;Evelyn L. Egan Observatory, Fort Myers;	Evelyn L. Egan Observatory, Fort Myers [code H72]
H73;Lakeland Astronomical Observatory, Kirtland;	Lakeland Astronomical Observatory, Kirtland [code H73]
H74;Bar J Observatory, New Smyrna Beach;	Bar J Observatory, New Smyrna Beach [code H74]
H75;Indian Hill North Observatory, Huntsburg;	Indian Hill North Observatory, Huntsburg [code H75]
H76;Oakridge Observatory, Miami;	Oakridge Observatory, Miami [code H76]
H77;Buehler Observatory;	Buehler Observatory [code H77]
H78;University of Narino Observatory, Pasto;	University of Narino Observatory, Pasto [code H78]
H79;York University Observatory, Toronto;	York University Observatory, Toronto [code H79]
H80;Halstead Observatory, Princeton;	Halstead Observatory, Princeton [code H80]
H81;Hartung-Boothroyd Observatory, Ithaca;	Hartung-Boothroyd Observatory, Ithaca [code H81]
H82;CBA-NOVAC Observatory, Front Royal;	CBA-NOVAC Observatory, Front Royal [code H82]
H83;Timberlake Observatory, Oakton;	Timberlake Observatory, Oakton [code H83]
H84;Northview Observatory, Mendon;	Northview Observatory, Mendon [code H84]
H85;Silver Spring;	Silver Spring [code H85]
H86;CBA-East Observatory, Laurel;	CBA-East Observatory, Laurel [code H86]
H87;Fenwick Observatory, Richmond;	Fenwick Observatory, Richmond [code H87]
H88;Hope Observatory, Belcamp;	Hope Observatory, Belcamp [code H88]
H89;Galaxy Blues Observatory, Gatineau;	Galaxy Blues Observatory, Gatineau [code H89]
H90;Ottawa;	Ottawa [code H90]
H91;Reynolds Observatory, Potsdam;	Reynolds Observatory, Potsdam [code H91]
H92;Arcturus Observatory;	Arcturus Observatory [code H92]
H93;Berkeley Heights;	Berkeley Heights [code H93]
H94;Cedar Knolls;	Cedar Knolls [code H94]
H95;NJIT Observatory, Newark;	NJIT Observatory, Newark [code H95]
H96;Observatoire des Pleiades, Mandeville;	Observatoire des Pleiades, Mandeville [code H96]
H97;Talcott Mountain Science Center, Avon;	Talcott Mountain Science Center, Avon [code H97]
H98;Dark Rosanne Obs., Middlefield;	Dark Rosanne Obs., Middlefield [code H98]
H99;Sunhill Observatory, Newton;	Sunhill Observatory, Newton [code H99]
I00;Carbuncle Hill Observatory, Coventry;	Carbuncle Hill Observatory, Coventry [code I00]
I01;Clay Center Observatory, Brookline;	Clay Center Observatory, Brookline [code I01]
I02;Cerro Tololo Observatory, La Serena--2MASS;	Cerro Tololo Observatory, La Serena--2MASS [code I02]
I03;European Southern Obs., La Silla--ASTROVIRTEL;	European Southern Obs., La Silla--ASTROVIRTEL [code I03]
I04;Mamalluca Observatory;	Mamalluca Observatory [code I04]
